Charmrun> scalable start enabled. 
Charmrun> started all node programs in 0.008 seconds.
Charm++> Running in non-SMP mode: numPes 10
Converse/Charm++ Commit ID: v6.7.0-503-g4facdc6f2
Charm++> scheduler running in netpoll mode.
CharmLB> Load balancer assumes all CPUs are same.
Charm++> Running on 1 unique compute nodes (8-way SMP).
Charm++> cpu topology info is gathered in 0.010 seconds.
[Main] Library array created and proxy obtained
10 has 1 buffer msgs
[Main] Inverted trees constructed. Notify library to perform components detection
[Main] Components identified, prune unecessary ones now
[tp4] myVertices[28] - vertexID: 2325, parent: 2332, component: 2335
[tp4] myVertices[29] - vertexID: 2326, parent: 2333, component: 2335
[tp0] myVertices[28] - vertexID: 29, parent: 28, component: 134
[tp0] myVertices[29] - vertexID: 30, parent: 34, component: 134
[tp0] myVertices[30] - vertexID: 31, parent: 32, component: 134
[tp0] myVertices[31] - vertexID: 32, parent: 35, component: 134
[tp0] myVertices[32] - vertexID: 33, parent: 30, component: 134
[tp0] myVertices[33] - vertexID: 34, parent: 31, component: 134
[tp0] myVertices[34] - vertexID: 35, parent: 36, component: 134
[tp0] myVertices[35] - vertexID: 36, parent: 37, component: 134
[tp0] myVertices[36] - vertexID: 37, parent: 38, component: 134
[tp0] myVertices[37] - vertexID: 38, parent: 39, component: 134
[tp3] myVertices[30] - vertexID: 1753, parent: 1752, component: 1804
[tp3] myVertices[31] - vertexID: 1754, parent: 1759, component: 1804
[tp3] myVertices[32] - vertexID: 1755, parent: 1760, component: 1804
[tp3] myVertices[33] - vertexID: 1756, parent: 1761, component: 1804
[tp3] myVertices[34] - vertexID: 1757, parent: 1763, component: 1804
[tp3] myVertices[35] - vertexID: 1758, parent: 1754, component: 1804
[tp3] myVertices[36] - vertexID: 1759, parent: 1755, component: 1804
[tp3] myVertices[37] - vertexID: 1760, parent: 1756, component: 1804
[tp3] myVertices[38] - vertexID: 1761, parent: 1762, component: 1804
[tp3] myVertices[39] - vertexID: 1762, parent: 1757, component: 1804
[tp4] myVertices[30] - vertexID: 2327, parent: -1, component: -1
[tp4] myVertices[31] - vertexID: 2328, parent: -1, component: -1
[tp4] myVertices[32] - vertexID: 2329, parent: -1, component: -1
[tp4] myVertices[33] - vertexID: 2330, parent: -1, component: -1
[tp4] myVertices[34] - vertexID: 2331, parent: 2325, component: 2335
[tp4] myVertices[35] - vertexID: 2332, parent: 2337, component: 2335
[tp4] myVertices[36] - vertexID: 2333, parent: 2335, component: 2335
[tp4] myVertices[37] - vertexID: 2334, parent: -1, component: -1
[tp4] myVertices[38] - vertexID: 2335, parent: -1, component: 2335
[tp4] myVertices[39] - vertexID: 2336, parent: -1, component: -1
[tp0] myVertices[38] - vertexID: 39, parent: 40, component: 134
[tp0] myVertices[39] - vertexID: 40, parent: 41, component: 134
[tp0] myVertices[40] - vertexID: 41, parent: 42, component: 134
[tp0] myVertices[41] - vertexID: 42, parent: 43, component: 134
[tp0] myVertices[42] - vertexID: 43, parent: 45, component: 134
[tp0] myVertices[43] - vertexID: 44, parent: 49, component: 134
[tp0] myVertices[44] - vertexID: 45, parent: 44, component: 134
[tp0] myVertices[45] - vertexID: 46, parent: 47, component: 134
[tp0] myVertices[46] - vertexID: 47, parent: 50, component: 134
[tp0] myVertices[47] - vertexID: 48, parent: 51, component: 134
[tp3] myVertices[40] - vertexID: 1763, parent: 1764, component: 1804
[tp3] myVertices[41] - vertexID: 1764, parent: 1766, component: 1804
[tp3] myVertices[42] - vertexID: 1765, parent: 1771, component: 1804
[tp3] myVertices[43] - vertexID: 1766, parent: 1765, component: 1804
[tp3] myVertices[44] - vertexID: 1767, parent: 1772, component: 1804
[tp3] myVertices[45] - vertexID: 1768, parent: 1773, component: 1804
[tp3] myVertices[46] - vertexID: 1769, parent: 1770, component: 1804
[tp3] myVertices[47] - vertexID: 1770, parent: 1774, component: 1804
[tp3] myVertices[48] - vertexID: 1771, parent: 1767, component: 1804
[tp3] myVertices[49] - vertexID: 1772, parent: 1768, component: 1804
[tp4] myVertices[40] - vertexID: 2337, parent: 2326, component: 2335
[tp4] myVertices[41] - vertexID: 2338, parent: -1, component: -1
[tp4] myVertices[42] - vertexID: 2339, parent: -1, component: -1
[tp4] myVertices[43] - vertexID: 2340, parent: -1, component: -1
[tp4] myVertices[44] - vertexID: 2341, parent: -1, component: -1
[tp4] myVertices[45] - vertexID: 2342, parent: -1, component: -1
[tp4] myVertices[46] - vertexID: 2343, parent: -1, component: -1
[tp4] myVertices[47] - vertexID: 2344, parent: -1, component: -1
[tp4] myVertices[48] - vertexID: 2345, parent: -1, component: -1
[tp4] myVertices[49] - vertexID: 2346, parent: -1, component: -1
[tp0] myVertices[48] - vertexID: 49, parent: 46, component: 134
[tp0] myVertices[49] - vertexID: 50, parent: 48, component: 134
[tp0] myVertices[50] - vertexID: 51, parent: 53, component: 134
[tp0] myVertices[51] - vertexID: 52, parent: 56, component: 134
[tp0] myVertices[52] - vertexID: 53, parent: 52, component: 134
[tp0] myVertices[53] - vertexID: 54, parent: 55, component: 134
[tp0] myVertices[54] - vertexID: 55, parent: 57, component: 134
[tp0] myVertices[55] - vertexID: 56, parent: 54, component: 134
[tp0] myVertices[56] - vertexID: 57, parent: 58, component: 134
[tp0] myVertices[57] - vertexID: 58, parent: 60, component: 134
[tp3] myVertices[50] - vertexID: 1773, parent: 1775, component: 1804
[tp3] myVertices[51] - vertexID: 1774, parent: 1778, component: 1804
[tp3] myVertices[52] - vertexID: 1775, parent: 1769, component: 1804
[tp3] myVertices[53] - vertexID: 1776, parent: 1777, component: 1804
[tp3] myVertices[54] - vertexID: 1777, parent: 1779, component: 1804
[tp3] myVertices[55] - vertexID: 1778, parent: 1776, component: 1804
[tp3] myVertices[56] - vertexID: 1779, parent: 1780, component: 1804
[tp3] myVertices[57] - vertexID: 1780, parent: 1782, component: 1804
[tp3] myVertices[58] - vertexID: 1781, parent: 1787, component: 1804
[tp3] myVertices[59] - vertexID: 1782, parent: 1781, component: 1804
[tp4] myVertices[50] - vertexID: 2347, parent: -1, component: -1
[tp4] myVertices[51] - vertexID: 2348, parent: -1, component: -1
[tp4] myVertices[52] - vertexID: 2349, parent: -1, component: -1
[tp4] myVertices[53] - vertexID: 2350, parent: -1, component: -1
[tp4] myVertices[54] - vertexID: 2351, parent: -1, component: -1
[tp4] myVertices[55] - vertexID: 2352, parent: -1, component: -1
[tp4] myVertices[56] - vertexID: 2353, parent: -1, component: -1
[tp4] myVertices[57] - vertexID: 2354, parent: -1, component: -1
[tp4] myVertices[58] - vertexID: 2355, parent: -1, component: -1
[tp4] myVertices[59] - vertexID: 2356, parent: -1, component: -1
